Row_ID,Customer_ID,Customer_Name,Gender,Age,City,State,Country,Membership_Type,Order_ID,Order_Date,Delivery_Date,Payment_Method,Order_Status,Product_Category,Product_Name,Quantity,Unit_Price,Discount,Shipping_Cost,Tax,Total_Amount,Website_Visits,Time_On_Website,Rating,Returned_Product,Customer_Satisfaction,Salesperson,Region,Warehouse,Profit,Cost,Revenue
1,CUST00265,Sneha Sharma,Male,35,Chennai,Tamil Nadu,India,Gold,ORD103884,16-Dec-2024,20-Dec-2024,Cash on Delivery,Cancelled,Fashion,Running Shoes,5,2253.08,7.033064305820455,94.28,1885.16,12452.54,3,5.8,4.0,No,Very Satisfied,Agent_15,South,WH-East,543.26,7950.4,10473.1
2,CUST01312,Rahul Joshi,Female,23,Jaipur,Rajasthan,India,Gold,ORD103992,07/27/2023,30-Jul-2023,Debit Card,Delivered,Sports,Football,5,726.12,6.665188835166368,49.5,609.95,4048.06,11,6.7,2.0,No,Very Satisfied,Agent_17,South,WH-Central,316.68,2412.48,3388.61
3,CUST00608,Priya Mehta,Male,18,Bhopal,Madhya Pradesh,India,Regular,ORD103326,16/12/2023,2023-12-25,Net Banking,Delivered,Home & Kitchen,Mixer Grinder,7,1345.5,32.32658744803547,40.38,1147.29,7561.49,15,15.6,5.0,No,Satisfied,Agent_04,South,WH-East,1536.93,3649.22,6373.82
4,CUST00374,Aditya Gupta,F,37,Bhopal,Madhya Pradesh,India,Silver,ORD100652,08-Jul-2023,14/07/2023,Credit Card,Delivered,Electronics,Bluetooth Earbuds,2,1427.8,14.800766328235444,23.41,437.93,2894.29,1,17.7,3.0,No,,Agent_19,East,WH-East,362.02,1609.59,2432.95
5,CUST00688,Reyansh Singh,Female,27,Hyderabad,Telangana,India,Gold,ORD101040,26-Oct-2024,10/28/2024,Credit Card,Delivered,Beauty,Sunscreen SPF50,4,1708.56,3.449136253886988,154.83,1187.73,7941.08,5,5.1,4.0,Yes,Satisfied,Agent_12,East,WH-West,553.81,4702.15,6598.52
6,CUST00782,Rahul Patel,Female,36,Ahmedabad,Gujarat,India,Regular,ORD100638,06-Dec-2024,09-Dec-2024,Cash on Delivery,Shipped,Beauty,Sunscreen SPF50,4,762.62,3.6898805629057363,53.25,528.83,3520.0,2,14.3,3.0,No,Very Unsatisfied,Agent_01,East,WH-West,1210.34,1145.5,2937.92
7,CUST00317,Sai Nair,Female,27,Indore,Madhya Pradesh,India,Platinum,ORD100325,22/09/2024,2024-09-28,Cash on Delivery,Shipped,Beauty,Sunscreen SPF50,6,452.31,1.6637141405665121,25.0,480.37,3174.08,5,10.6,3.0,Yes,Satisfied,Agent_09,South,WH-South,1205.44,957.9,2668.71
8,CUST00628,Aarav Singh,M,37,Lucknow,Uttar Pradesh,India,Gold,ORD103604,23/05/2024,,Net Banking,Cancelled,Fashion,Denim Jeans,5,1708.22,5.9974322175709895,20.0,1445.19,9494.04,1,2.8,4.0,No,Satisfied,Agent_14,South,WH-West,2138.94,4424.72,8028.85
9,CUST01263,Aditya Verma, Male,32,Jaipur,Rajasthan,India,Regular,ORD101947,17-Jun-2024,18-Jun-2024,Credit Card,Delivered,Home & Kitchen,Mixer Grinder,3,1221.25,20.02253934537314,20.0,527.43,3477.6,7,4.3,,No,Very Satisfied,Agent_19,West,WH-West,282.31,2100.43,2930.17
10,CUST00477,Sneha Singh,Male,,Lucknow,Uttar Pradesh,India,Gold,ORD102190,10-Nov-2024,18/11/2024,Debit Card,Cancelled,Beauty,Hair Serum,3,"1,087.49",7.079939176432755,153.06,545.67,3730.22,6,7.7,3.0,No,Satisfied,Agent_02,West,WH-West,,1529.58,3031.49
11,CUST00975,Rahul Mehta,Male,27,Delhi,Delhi,India,Platinum,ORD102425,07/04/2024,10/07/2024,Net Banking,Delivered,Home & Kitchen,Non-Stick Pan,4,395.6,,74.96,242.27,1663.18,2,10.9,1.0,Yes,Neutral,Agent_16,North,WH-East,202.34,826.38,1345.95
12,CUST00287,Sneha Nair,M,31,Hyderabad,Telangana,India,Gold,ORD101777,04/25/2024,30-Apr-2024,Cash on Delivery,Pending,Beauty,Lip Balm Set,5,2542.38,17.153063551843346,67.3,1895.66,12494.38,1,3.7,3.0,No,,Agent_13,East,WH-North,₹2260.96,6307.5,10531.42
13,CUST00044,Vivaan Joshi,Female,32,Bengaluru,Karnataka,India,Regular,ORD101170,15-Mar-2023,03/23/2023,UPI,Cancelled,Sports,Football,4,1546.05,16.502534646441827,106.28,929.46,6199.39,6,11.9,3.0,No,Very Satisfied,Agent_16,East,WH-East,271.1,3856.81,5163.65
14,CUST01356,Ishaan Reddy,Male,21,Pune,Maharashtra,India,Platinum,ORD101308,01/21/2023,2023-01-27,Net Banking,Shipped,Beauty,Lip Balm Set,5,1338.88,4.231876685035871,36.46,1154.0,7601.56,14,6.0,3.0,No,Satisfied,Agent_03,East,WH-North,638.41,4582.23,6411.1
15,CUST00122,Sneha Mehta, Male,43,Hyderabad,Telangana,India,Gold,ORD102839,02-Sep-2024,2024-09-11,Net Banking,Shipped,Electronics,Smartwatch,4,1258.44,17.906576789729666,130.16,743.83,5006.38,3,11.3,4.0,Yes,Very Satisfied,Agent_20,North,WH-Central,173.99,3084.41,4132.39
16,CUST01060,Myra Joshi, Male,44,Bengaluru,Karnataka,India,Platinum,ORD104001,25/03/2023,03/29/2023,UPI,Delivered,Home & Kitchen,LED Bulb Pack,4,1876.4,8.195508843161324,25.51,1240.29,8156.28,14,19.3,3.0,No,Satisfied,Agent_11,East,WH-West,1829.49,3795.19,6890.48
17,CUST01161,Sai Iyer,Male,37,Chennai,Tamil Nadu,India,Silver,ORD103892,19-Sep-2023,20-Sep-2023,Credit Card,Delivered,Home & Kitchen,Storage Boxes,10,1344.78,6.561371584173549,123.15,2261.78,14950.37,1,6.1,3.0,No,Very Satisfied,Agent_06,South,WH-North,,6878.68,12565.44
18,CUST00817,Myra Reddy,Female,52,Bengaluru,Karnataka,India,Regular,ORD100194,06/01/2023,07/06/2023,UPI,Returned,Home & Kitchen,LED Bulb Pack,5,793.76,3.8700214882200252,87.77,686.74,4589.72,9,13.8,3.0,Yes,Satisfied,Agent_12,South,WH-South,404.64,2636.06,3815.21
19,CUST00790,Sneha Reddy,M,36,jaipur,Rajasthan,India,Regular,ORD102261,2023-11-14,19/11/2023,Net Banking,Cancelled,Beauty,Lip Balm Set,3,1216.98,7.078652869743794,136.29,610.65,4139.44,7,8.2,5.0,No,Satisfied,Agent_14,West,WH-North,494.45,2151.11,3392.5
20,CUST01028,Kabir Mehta,Female,25,Lucknow,Uttar Pradesh,India,Silver,ORD100513,24-Mar-2024,29/03/2024,UPI,Delivered,Beauty,Face Wash, 3 ,1190.19,10.066967097534471,39.84,578.0,3828.96,2,9.8,3.0,No,Very Satisfied,Agent_18,East,WH-West,579.59,2013.69,3211.12
21,CUST01117,Reyansh Nair,M,,Hyderabad,Telangana,India,Regular,ORD103698,21-Mar-2023,25/03/2023,UPI,Returned,Beauty,Hair Serum, 4 ,2203.93,19.14959493323496,42.23,1282.96,8452.74,10,3.0,3.0,No,Unsatisfied,Agent_19,North,WH-East,1953.62,3848.74,7127.55
22,CUST01371,Myra Verma,Female,30,Mumbai,Maharashtra,India,Silver,ORD103867,12-Mar-2023,17/03/2023,Credit Card,Delivered,Electronics,Bluetooth Earbuds,2,1383.04,12.142660815647735,43.98,437.44,2911.62,9,13.9,3.0,No,Very Satisfied,  Agent_08  ,North,WH-East,,1614.15,2430.2
23,CUST00121,Karan Sharma, Female ,,Delhi,Delhi,India,Regular,ORD102467,01-May-2023,02/05/2023,Cash on Delivery,Cancelled,Beauty,Face Wash,4,1389.86,29.613309608468292,21.05,704.36,4638.52,3,9.5,2.0,No,Neutral,Agent_05,South,WH-North,42.73,3144.97,3913.11
24,CUST00490,Rohan Gupta,Female,41,Lucknow,Uttar Pradesh,India,Gold,ORD104190,2024-03-23,03/30/2024,Net Banking,Returned,Electronics,Power Bank,2,2100.67,8.467916763031656,142.33,692.2,4680.1,4,4.2,3.0,No,Very Satisfied,Agent_11,South,WH-Central,231.12,2779.92,3845.57
25,CUST00689,Diya Iyer,Male,26,Bengaluru,Karnataka,India,Silver,ORD100393,13-Apr-2023,18/04/2023,UPI,Delivered,Beauty,Hair Serum,7,1260.68,14.229841903574439,198.17,1362.42,9129.6,6,11.4,3.0,Yes,Unsatisfied,Agent_14,North,WH-East,1075.28,4933.14,7569.01
26,CUST00662,Kabir Reddy,Female,35,Delhi,Delhi,India,Gold,ORD103115,2023-09-06,09/10/2023,Debit Card,Returned,Electronics,Smartwatch,4,1048.01,9.612397430816708,115.47,682.03,4586.58,2,21.2,4.0,No,Very Satisfied,Agent_07,West,WH-East,802.55,2189.03,3789.08
27,CUST00583,Sneha Singh,Male,41,Hyderabad,Telangana,India,Silver,ORD102420,2024-12-06,12/09/2024,UPI,Delivered,Electronics,Bluetooth Earbuds,5,1403.03,9.332961367641733,88.43,1144.88,7593.74,4,9.2,5.0,No,Satisfied,Agent_08,North,WH-Central,1034.19,4092.93,6360.43
28,CUST00508,Meera Singh,Male,33,Delhi,Delhi,India,Regular,ORD104166,2024-10-24,10/28/2024,UPI,Delivered,Home & Kitchen,Storage Boxes,3,1108.11,,44.06,550.83,3655.05,4,5.4,4.0,No,,Agent_01,West,WH-East,,1711.89,3060.16
29,CUST01136,Priya Mehta,Male,28,Indore,Madhya Pradesh,India,Regular,ORD103070,23/01/2024,01/30/2024,Net Banking,Delivered,Home & Kitchen,Mixer Grinder,3,1453.09,17.81059603992388,22.78,644.91,4250.55,1,4.0,4.0,No,Very Unsatisfied,Agent_12,North,WH-West,,2318.24,3582.86
30,CUST00999,Priya Nair,Male,26, Ahmedabad ,Gujarat,India,Silver,ORD102417,01-Feb-2023,,Debit Card,Delivered,Electronics,LED Monitor, 6 ,1425.53,8.552737299701908,76.9,1407.9,9306.45,14,19.5,,No,Very Satisfied,Agent_08,North,WH-South,1544.47,4792.38,7821.65
31,CUST01047,Aarav Joshi,Female,23,AHMEDABAD,Gujarat,India,Silver,ORD100540,04/30/2023,2023-05-05,Cash on Delivery,Returned,Fashion,Denim Jeans,4,2261.72,,72.78,1534.56,10132.67,3,3.1,2.0,No,Very Satisfied,Agent_10,South,WH-East,1615.77,5302.22,8525.33
32,CUST00894,Vivaan Verma,Male,,Pune,Maharashtra,India,Silver,ORD103717,17-Jan-2024,,Debit Card,Delivered,Electronics,Smartwatch,5,441.12,5.88076600459892,70.05,373.66,2519.6,1,16.4,3.0,No,Satisfied,Agent_02,North,WH-West,361.56,1270.62,2075.89
33,CUST00718,Rohan Reddy,Male,24,Kolkata,West Bengal,India,Gold,ORD100578,13/03/2024,21-Mar-2024,Credit Card,Returned,Home & Kitchen,LED Bulb Pack,4,2628.97,9.94840466779445,31.89,1704.55,11206.16,11,3.7,4.0,No,Satisfied,Agent_09,South,WH-West,2075.1,5658.18,9469.72
34,CUST00477,Pooja Nair,Male,40,BENGALURU,Karnataka,India,Platinum,ORD101423,02/27/2023,01-Mar-2023,Cash on Delivery,Returned,Beauty,Face Wash,6,2165.94,21.170941785817647,160.22,1843.98,12248.54,1,1.8,4.0,No,Satisfied,Agent_15,West,WH-South,,6547.74,10244.34
35,CUST00772,Kabir Gupta,MALE,30,kolkata,West Bengal,India,Regular,ORD102216,09/11/2024,13-Sep-2024,Cash on Delivery,Delivered,Electronics,Power Bank,7,3093.62,8.356127093963025,31.32,3572.24,23449.35,1,6.0,,No,Unsatisfied,Agent_04,North,WH-North,,13469.97,19845.79
36,CUST00945,Karan Sharma,Female,39,,Maharashtra,India,Silver,ORD101561,07/05/2024,07/11/2024,Cash on Delivery,Delivered,Electronics,Smartwatch,4,2058.08,5.04504091805904,33.05,1407.06,9257.11,2,4.7,2.0,No,Satisfied,Agent_10,South,WH-North,1329.67,5047.22,7817.0
37,CUST00643,Aditya Sharma,Male,22,Bengaluru,Karnataka,India,Silver,ORD103036,19-Aug-2024,08/26/2024,Credit Card,Delivered,Sports,Cricket Bat, 1 ,1354.44,6.526063793063683,46.41,227.89,1540.35,8,11.8,10.0,No,Very Satisfied,Agent_02,North,WH-East,,837.4,1266.05
38,CUST00511,Arjun Sharma,Female,35,Bhopal,Madhya Pradesh,India,Silver,ORD100658,09/05/2023,2023-09-10,UPI,Shipped,Home & Kitchen,Storage Boxes,4,900.5,19.30410720365409,58.45,523.2,3488.32,1,12.6,5.0,No,Satisfied,Agent_18,South,WH-East,,1979.04,2906.67
39,CUST00678,Pooja Verma,Female,27,Delhi,Delhi,India,Regular,ORD102498,11-Dec-2023,19-Dec-2023,Debit Card,Delivered,Home & Kitchen,Storage Boxes,4,2731.43,10.996570451442807,55.08,1750.37,11529.72,3,9.6,,No,Satisfied,Agent_07,South,WH-West,3361.97,4556.85,9724.27
40,CUST00339,Rahul Verma,Female,36,Bhopal,Madhya Pradesh,India,Regular,ORD104017,14-May-2023,,Credit Card,Delivered,Home & Kitchen,Storage Boxes,4,"1,272.17",21.89215974270334,21.95,715.44,4712.05,5,22.8,4.0,No,Neutral,Agent_05,East,WH-East,1063.56,2173.71,3974.66
41,CUST01282,Aarav Joshi,Female,42,Bhopal,Madhya Pradesh,India,Regular,ORD101693,2024-01-14,19-Jan-2024,Net Banking,Shipped,Beauty,Sunscreen SPF50,2,814.62,10.534356580284806,56.54,262.37,1776.52,6,10.9,,No,Unsatisfied,Agent_11,East,WH-North,437.97,700.73,1457.61
42,CUST01401,Pooja Gupta,Female,29,Kolkata,West Bengal,India,Platinum,ORD101859,05/06/2023,2023-05-14,Credit Card,Returned,Electronics,LED Monitor,6,1310.89,2.2973918428944433,61.32,1383.24,9129.2,3,2.2,3.0,No,Satisfied,Agent_13,North,WH-West,905.76,5334.32,7684.64
43,CUST01375,Priya Iyer,Male,24,JAIPUR,Rajasthan,India,Gold,ORD101256,17/11/2023,11/22/2023,UPI,Delivered,Home & Kitchen,Storage Boxes,4,1740.2,,102.39,999.28,6653.25,2,3.4,3.0,No,Very Satisfied,Agent_03,South,WH-North,,3897.35,5551.58
44,CUST01167,Pooja Sharma,Male,18,Chennai,Tamil Nadu,India,Silver,ORD100987,2024-02-25,26/02/2024,Net Banking,Delivered,Beauty,Hair Serum,5,1629.72,4.700527848058667,153.64,1397.8,9317.01,1,1.6,3.0,Yes,Satisfied,  Agent_17  ,North,WH-West,1454.59,4759.54,7765.57
45,CUST01190,Aarav Singh,MALE,40,Jaipur,Rajasthan,India,Silver,ORD104097,30/08/2023,09/04/2023,Debit Card,Delivered,Fashion,Leather Wallet,3,2053.72,9.485841326843861,35.82,1003.81,6616.35,1,3.7,2.0,Yes,Very Satisfied,Agent_09,North,WH-West,1453.11,3083.98,5576.72
46,CUST01272,Diya Nair,Male,,Delhi,Delhi,India,Platinum,ORD101578,17/10/2023,2023-10-26,Cash on Delivery,Shipped,Fashion,Running Shoes,8,1478.42,15.492099130648686,141.74,1799.11,11935.9,1,6.8,4.0,No,,Agent_11,East,WH-North,2369.6,5684.6,9995.05
47,CUST00965,Ananya Nair,Male,45,AHMEDABAD,Gujarat,India,Platinum,ORD103091,2023-10-27,2023-10-29,Net Banking,Returned,Electronics,LED Monitor,3,1502.47,7.124314268533785,70.12,753.53,5009.94,1,2.3,3.0,No,,Agent_08,North,WH-South,439.81,2922.83,4186.29
48,CUST00294,Meera Mehta,Male,42,LUCKNOW,Uttar Pradesh,India,Regular,ORD101558,06/28/2023,,Cash on Delivery,Cancelled,Fashion,Leather Wallet,5,3638.81,9.894274220665437,107.36,2950.9,19452.14,3,1.1,3.0,No,Neutral,Agent_16,West,WH-East,-50000,8684.79,16393.88
49,CUST00952,Myra Nair,Male,46,Pune,Maharashtra,India,Platinum,ORD101297,12/05/2023,2023-12-13,Cash on Delivery,Shipped,Beauty,Face Wash,1,1301.9,15.432962994860969,77.84,198.18,1377.0,3,16.9,3.0,No,Neutral,Agent_17,East,WH-South,269.38,555.58,1100.98
50,CUST00589,Diya Sharma,Male,39,Bengaluru,Karnataka,India,Regular,ORD103748,2024-11-10,2024-11-17,Debit Card,Delivered,Home & Kitchen,Non-Stick Pan,2,1071.46,30.017172123877103,67.83,269.94,1837.45,1,9.5,3.0,No,Satisfied,Agent_06,North,WH-North,389.29,772.62,1499.68
51,CUST00357,Ishaan Sharma,Female,27,,Tamil Nadu,India,Platinum,ORD103751,11/22/2024,25-Nov-2024,UPI,Delivered,Electronics,Smartwatch,4,903.41,8.598856487953745,93.19,594.52,3990.62,5,5.1,5.0,No,Satisfied,Agent_04,East,WH-South,-192.27,2807.47,3302.91
52,CUST00482,Myra Nair,Male,42,Bengaluru,Karnataka,India,Silver,ORD100108,09/02/2023,14/02/2023,Net Banking,Shipped,Sports,Cricket Bat,4,1872.03,10.289040963199104,60.71,1209.18,7987.55,4,4.4,4.0,No,Satisfied,Agent_16,South,WH-North,1784.89,3662.88,6717.66
53,CUST01156,Meera Reddy,Male,29,Indore,Madhya Pradesh,India,Gold,ORD103530,09/29/2024,2024-10-03,Cash on Delivery,Returned,Beauty,Lip Balm Set,3,440.27,8.446952386955697,30.58,217.66,1457.48,6,8.1,4.0,Yes,Satisfied,Agent_06,South,WH-South,290.37,670.63,1209.24
54,CUST00301,Reyansh Iyer,MALE,50,Bhopal,Madhya Pradesh,India,Regular,ORD101354,12-Mar-2023,2023-03-13,UPI,Shipped,Fashion,Running Shoes,2,1775.26,17.20777898077943,163.24,529.12,3631.91,5,3.0,3.0,Yes,Very Satisfied,Agent_18,North,WH-West,586.84,1660.35,2939.55
